Business Unit,Feeder Name,Non-MD Service Band,Cap (kWh)
ABULE-EGBA BU,11-Abule IrokoINJ-T1-Abule Iroko,D,194
ABULE-EGBA BU,11-Abule IrokoINJ-T1-Alakuko,D,270
ABULE-EGBA BU,11-Abule IrokoINJ-T1-Books,C,275
ABULE-EGBA BU,11-AgegeINJ-T1-Iju Road,C,454
ABULE-EGBA BU,11-AgegeINJ-T1-Oko Oba,C,442
ABULE-EGBA BU,11-Akute INJ-T1-Ishashi,C,239
ABULE-EGBA BU,11-Akute INJ-T1-Oyeyemi,C,252
ABULE-EGBA BU,11-BeckleyINJ-T1-Agbe road,C,339
ABULE-EGBA BU,11-BeckleyINJ-T1-Beckley,C,529
ABULE-EGBA BU,11-BolorunpeluINJ-T3- Governor,B,473
ABULE-EGBA BU,11-Ijaiye OjokoroINJ-T1- Abeokuta Express,C,242
ABULE-EGBA BU,11-Ijaiye OjokoroINJ-T1- Jankara,C,342
ABULE-EGBA BU,11-Ijaiye OjokoroINJ-T2- Agbado 2,C,264
ABULE-EGBA BU,11-IjuINJ-T1-Ajuwon,A,538
ABULE-EGBA BU,11-IjuINJ-T1-Asore,B,360
ABULE-EGBA BU,11-IjuINJ-T1-Galilee,B,546
ABULE-EGBA BU,11-IjuINJ-T1-Grailand,D,372
ABULE-EGBA BU,11-IjuINJ-T2-Agbado 1,C,266
ABULE-EGBA BU,11-IjuINJ-T2-Ishaga,C,419
ABULE-EGBA BU,11-LambeINJ-T1-Jolasco,D,286
ABULE-EGBA BU,11-LambeINJ-T1-Matogun,C,307
ABULE-EGBA BU,11-LambeINJ-T1-Olambe,C,332
ABULE-EGBA BU,11-ObawoleINJ-T1-Anthony Youdeowei,B,479
ABULE-EGBA BU,11-ObawoleINJ-T1-Shonubi,B,515
ABULE-EGBA BU,11-ObawoleINJ-T1- Youdeowei,B,474
ABULE-EGBA BU,11-Ope IluINJ-T1-Aboro,C,211
ABULE-EGBA BU,11-Ope IluINJ-T1-Adiyan,C,246
ABULE-EGBA BU,11-YidiINJ-T1-Ijoko,D,187
ABULE-EGBA BU,11-YidiINJ-T1-Opeilu,D,146
ABULE-EGBA BU,11-YidiINJ-T1-Osoba,C,305
ABULE-EGBA BU,11-YusufINJ-T1-Akera,C,292
ABULE-EGBA BU,11-YusufINJ-T2-Yusuf,C,330
ABULE-EGBA BU,33-OgbaTCN-ABEOKUTA EXP.,B,621
ABULE-EGBA BU,33-Oke-AroTCN-AKUTE,D,295
ABULE-EGBA BU,33-OtaTCN-AMJE,C,650
AKOWONJO BU,11-AbesanINJ-T1-Aboru,D,247
AKOWONJO BU,11-AbesanINJ-T1-Baruwa,D,281
AKOWONJO BU,11-AbesanINJ-T1-Ipaja,C,375
AKOWONJO BU,11-AbesanINJ-T2-Abesan,C,388
AKOWONJO BU,11-AbesanINJ-T2-Shagari,C,395
AKOWONJO BU,11-Abule IrokoINJ-T1-Alakuko,D,258
AKOWONJO BU,11-Abule TaylorINJ-T1-Bode Williams,D,391
AKOWONJO BU,11-Abule TaylorINJ-T1-Walter Anderm,D,400
AKOWONJO BU,11-AdaranijoINJ-T1- Arigbanla,C,369
AKOWONJO BU,11-AdaranijoINJ-T1-NYSC,C,443
AKOWONJO BU,11-AdaranijoINJ-T1-Oyewole,C,389
AKOWONJO BU,11-AgegeINJ-T1-Oko Oba,C,428
AKOWONJO BU,11-AgegeINJ-T2-Abule Egba,D,397
AKOWONJO BU,11-AgegeINJ-T2-Orile Agege,C,399
AKOWONJO BU,11-AgegeINJ-T2-Power Line,D,312
AKOWONJO BU,11-AgegeINJ-T3-Pen Cinema,C,386
AKOWONJO BU,11-AgegeINJ-T3-Tabon Tabon,D,388
AKOWONJO BU,11-AiyetoroINJ-T1-Bada,C,333
AKOWONJO BU,11-AiyetoroINJ-T1-Itele,C,356
AKOWONJO BU,11-AlajaINJ-T1-Fadayomi,C,344
AKOWONJO BU,11-AlimoshoINJ-T4-Akowonjo,C,386
AKOWONJO BU,11-AlimoshoINJ-T4-FHA,B,503
AKOWONJO BU,11-AlimoshoINJ-T4-Oki,C,481
AKOWONJO BU,11-AlimoshoINJ-T6-Orelope,C,406
AKOWONJO BU,11-AlimoshoINJ-T6-Shasha,C,387
AKOWONJO BU,11-AlimoshoINJ-T8-Alimosho,B,579
AKOWONJO BU,11-AlimoshoINJ-T8-Okunola,C,427
AKOWONJO BU,11-AlimoshoINJ-T8-Wole Omo Osho,B,490
AKOWONJO BU,11-AmikanleINJ-T1-Aiyetobi,C,382
AKOWONJO BU,11-AmikanleINJ-T1-Ige,D,387
AKOWONJO BU,11-AmikanleINJ-T1-Isoto,D,293
AKOWONJO BU,11-AyetoroINJ-T1-Bada,C,324
AKOWONJO BU,11-AyetoroINJ-T1-Itele,C,352
AKOWONJO BU,11-AyoboINJ-T1-Ayobo,C,362
AKOWONJO BU,11-AyoboINJ-T1-Ikola,D,309
AKOWONJO BU,11-EkoroINJ-T1-Ajasa,D,285
AKOWONJO BU,11-EkoroINJ-T1-Ekoro,D,307
AKOWONJO BU,11-EkoroINJ-T1-Oke Odo,D,402
AKOWONJO BU,11-EkoroINJ-T2-Agbele,D,298
AKOWONJO BU,11-EkoroINJ-T2-Olota,D,296
AKOWONJO BU,11-HilltopINJ-T1-Hilltop,A - Bilateral,587
AKOWONJO BU,11-Ijaiye OjokoroINJ-T1- Abeokuta Express,C,257
AKOWONJO BU,11-IlapoINJ-T1-Ilapo,D,277
AKOWONJO BU,11-MongoroINJ-T1-Capitol,D,381
AKOWONJO BU,11-MongoroINJ-T1-New Dopemu,B,509
AKOWONJO BU,11-MongoroINJ-T1-Sule,C,361
AKOWONJO BU,11-New GowonINJ-T1-Kuwait,C,365
AKOWONJO BU,11-New GowonINJ-T1- Olorunadaba,B,559
AKOWONJO BU,11-New GowonINJ-T1-Unity,C,543
AKOWONJO BU,11-ShashaINJ-T1-Foursquare,C,370
AKOWONJO BU,11-ShashaINJ-T1-Oguntade,C,393
AKOWONJO BU,11-ShashaINJ-T1-Orisunbare,D,345
AKOWONJO BU,11-YusufINJ-T2-Agbefa,D,261
AKOWONJO BU,33-AlimoshoTCN-AGEGE,A,381
AKOWONJO BU,33-AyoboTCN-ABULE TAYLOR,B,737
AKOWONJO BU,33-AyoboTCN-AMIKANLE,B,755
AKOWONJO BU,33-OgbaTCN-ABEOKUTA EXP.,B,668
IKEJA BU,11-AbesanINJ-T1-Aboru,D,211
IKEJA BU,11-Adekunle FajuyiINJ-T1- Isaac John,A - Bilateral,1069
IKEJA BU,11-Adekunle FajuyiINJ-T1- Oduduwa,A - Bilateral,988
IKEJA BU,11-Adeniyi JonesINJ-T1- Adeniyi Jones,A,1000
IKEJA BU,11-Adeniyi JonesINJ-T1-Ajao,B,949
IKEJA BU,11-Adeniyi JonesINJ-T1- Anifowoshe,B,846
IKEJA BU,11-AgegeINJ-T1-Iju Road,C,496
IKEJA BU,11-AgegeINJ-T3-Oyemekun,C,554
IKEJA BU,11-AjaoINJ-T2-New Estate,C,786
IKEJA BU,11-IlupejuINJ-T1-Bhojson,A,1449
IKEJA BU,11-IlupejuINJ-T4-Ikorodu,A,892
IKEJA BU,11-MarylandINJ-T1-PTC,A - Bilateral,1031
IKEJA BU,11-MarylandINJ-T2-GRA,B,1320
IKEJA BU,11-MarylandINJ-T2-Ojota,B,834
