Business Unit,Feeder Name,Non-MD Service Band,Cap (kWh)
ABULE-EGBA BU,11-Abule IrokoINJ-T1-Abule Iroko,D,190
ABULE-EGBA BU,11-Abule IrokoINJ-T1-Alakuko,D,265
ABULE-EGBA BU,11-Abule IrokoINJ-T1-Books,C,269
ABULE-EGBA BU,11-AgegeINJ-T1-Iju Road,C,444
ABULE-EGBA BU,11-AgegeINJ-T1-Oko Oba,C,433
ABULE-EGBA BU,11-Akute INJ-T1-Ishashi,C,234
ABULE-EGBA BU,11-Akute INJ-T1-Oyeyemi,C,247
ABULE-EGBA BU,11-BeckleyINJ-T1-Agbe road,C,332
ABULE-EGBA BU,11-BeckleyINJ-T1-Beckley,C,518
ABULE-EGBA BU,11-BolorunpeluINJ-T3-Governor,B,463
ABULE-EGBA BU,11-Ijaiye OjokoroINJ-T1-Abeokuta Express,C,237
ABULE-EGBA BU,11-Ijaiye OjokoroINJ-T1-Jankara,C,335
ABULE-EGBA BU,11-Ijaiye OjokoroINJ-T2-Agbado 2,C,259
ABULE-EGBA BU,11-IjuINJ-T1-Ajuwon,A,527
ABULE-EGBA BU,11-IjuINJ-T1-Asore,B,353
ABULE-EGBA BU,11-IjuINJ-T1-Galilee,B,535
ABULE-EGBA BU,11-IjuINJ-T1-Grailand,D,364
ABULE-EGBA BU,11-IjuINJ-T2-Agbado 1,C,260
ABULE-EGBA BU,11-IjuINJ-T2-Ishaga,C,410
ABULE-EGBA BU,11-LambeINJ-T1-Jolasco,D,280
ABULE-EGBA BU,11-LambeINJ-T1-Matogun,C,300
ABULE-EGBA BU,11-LambeINJ-T1-Olambe,C,325
ABULE-EGBA BU,11-ObawoleINJ-T1-Anthony Youdeowei,B,470
ABULE-EGBA BU,11-ObawoleINJ-T1-Shonubi,B,504
ABULE-EGBA BU,11-ObawoleINJ-T1-Youdeowei,B,464
ABULE-EGBA BU,11-Ope IluINJ-T1-Aboro,C,207
ABULE-EGBA BU,11-Ope IluINJ-T1-Adiyan,C,241
ABULE-EGBA BU,11-YidiINJ-T1-Ijoko,D,183
ABULE-EGBA BU,11-YidiINJ-T1-Opeilu,D,143
ABULE-EGBA BU,11-YidiINJ-T1-Osoba,C,299
ABULE-EGBA BU,11-YusufINJ-T1-Akera,C,286
ABULE-EGBA BU,11-YusufINJ-T2-Yusuf,C,323
ABULE-EGBA BU,33-OgbaTCN-ABEOKUTA EXP.,B,608
ABULE-EGBA BU,33-Oke-AroTCN-AKUTE,D,289
ABULE-EGBA BU,33-OtaTCN-AMJE,C,636
AKOWONJO BU,11-AbesanINJ-T1-Aboru,D,242
AKOWONJO BU,11-AbesanINJ-T1-Baruwa,D,276
AKOWONJO BU,11-AbesanINJ-T1-Ipaja,C,367
AKOWONJO BU,11-AbesanINJ-T2-Abesan,C,380
AKOWONJO BU,11-AbesanINJ-T2-Shagari,C,387
AKOWONJO BU,11-Abule IrokoINJ-T1-Alakuko,D,253
AKOWONJO BU,11-Abule TaylorINJ-T1-Bode Williams,D,383
AKOWONJO BU,11-Abule TaylorINJ-T1-Walter Anderm,D,391
AKOWONJO BU,11-AdaranijoINJ-T1-Arigbanla,C,362
AKOWONJO BU,11-AdaranijoINJ-T1-NYSC,C,434
AKOWONJO BU,11-AdaranijoINJ-T1-Oyewole,C,381
AKOWONJO BU,11-AgegeINJ-T1-Oko Oba,C,420
AKOWONJO BU,11-AgegeINJ-T2-Abule Egba,D,389
AKOWONJO BU,11-AgegeINJ-T2-Orile Agege,C,391
AKOWONJO BU,11-AgegeINJ-T2-Power Line,D,305
AKOWONJO BU,11-AgegeINJ-T3-Pen Cinema,C,378
AKOWONJO BU,11-AgegeINJ-T3-Tabon Tabon,D,380
AKOWONJO BU,11-AiyetoroINJ-T1-Bada,C,326
AKOWONJO BU,11-AiyetoroINJ-T1-Itele,C,348
AKOWONJO BU,11-AlajaINJ-T1-Fadayomi,C,337
AKOWONJO BU,11-AlimoshoINJ-T4-Akowonjo,C,378
AKOWONJO BU,11-AlimoshoINJ-T4-FHA,B,493
AKOWONJO BU,11-AlimoshoINJ-T4-Oki,C,471
AKOWONJO BU,11-AlimoshoINJ-T6-Orelope,C,398
AKOWONJO BU,11-AlimoshoINJ-T6-Shasha,C,379
AKOWONJO BU,11-AlimoshoINJ-T8-Alimosho,B,567
AKOWONJO BU,11-AlimoshoINJ-T8-Okunola,C,418
AKOWONJO BU,11-AlimoshoINJ-T8-Wole Omo Osho,B,480
AKOWONJO BU,11-AmikanleINJ-T1-Aiyetobi,C,374
AKOWONJO BU,11-AmikanleINJ-T1-Ige,D,379
AKOWONJO BU,11-AmikanleINJ-T1-Isoto,D,287
AKOWONJO BU,11-AyetoroINJ-T1-Bada,C,317
AKOWONJO BU,11-AyetoroINJ-T1-Itele,C,344
AKOWONJO BU,11-AyoboINJ-T1-Ayobo,C,354
AKOWONJO BU,11-AyoboINJ-T1-Ikola,D,302
AKOWONJO BU,11-EkoroINJ-T1-Ajasa,D,279
AKOWONJO BU,11-EkoroINJ-T1-Ekoro,D,301
AKOWONJO BU,11-EkoroINJ-T1-Oke Odo,D,393
AKOWONJO BU,11-EkoroINJ-T2-Agbele,D,292
AKOWONJO BU,11-EkoroINJ-T2-Olota,D,289
AKOWONJO BU,11-HilltopINJ-T1-Hilltop,A - Bilateral,575
AKOWONJO BU,11-Ijaiye OjokoroINJ-T1-Abeokuta Express,C,251
AKOWONJO BU,11-IlapoINJ-T1-Ilapo,D,271
