Business Unit,Feeder Name,Non-MD Service Band,Cap (kWh)
ABULE-EGBA BU,11-Abule IrokoINJ-T1-Abule Iroko,D,184
ABULE-EGBA BU,11-Abule IrokoINJ-T1-Alakuko,D,257
ABULE-EGBA BU,11-Abule IrokoINJ-T1-Books,C,261
ABULE-EGBA BU,11-AgegeINJ-T1-Iju Road,C,431
ABULE-EGBA BU,11-AgegeINJ-T1-Oko Oba,C,420
ABULE-EGBA BU,11-Akute INJ-T1-Ishashi,C,227
ABULE-EGBA BU,11-Akute INJ-T1-Oyeyemi,C,240
ABULE-EGBA BU,11-BeckleyINJ-T1-Agbe road,C,323
ABULE-EGBA BU,11-BeckleyINJ-T1-Beckley,C,503
ABULE-EGBA BU,11-BolorunpeluINJ-T3-Governor,B,450
ABULE-EGBA BU,11-Ijaiye OjokoroINJ-T1-Abeokuta Express,C,230
ABULE-EGBA BU,11-Ijaiye OjokoroINJ-T1-Jankara,C,325
ABULE-EGBA BU,11-Ijaiye OjokoroINJ-T2-Agbado 2,C,251
ABULE-EGBA BU,11-IjuINJ-T1-Ajuwon,A,512
ABULE-EGBA BU,11-IjuINJ-T1-Asore,B,343
ABULE-EGBA BU,11-IjuINJ-T1-Galilee,B,519
ABULE-EGBA BU,11-IjuINJ-T1-Grailand,D,354
ABULE-EGBA BU,11-IjuINJ-T2-Agbado 1,C,253
ABULE-EGBA BU,11-IjuINJ-T2-Ishaga,C,398
ABULE-EGBA BU,11-LambeINJ-T1-Jolasco,D,272
ABULE-EGBA BU,11-LambeINJ-T1-Matogun,C,292
ABULE-EGBA BU,11-LambeINJ-T1-Olambe,C,316
ABULE-EGBA BU,11-ObawoleINJ-T1-Anthony Youdeowei,B,456
ABULE-EGBA BU,11-ObawoleINJ-T1-Shonubi,B,490
ABULE-EGBA BU,11-ObawoleINJ-T1-Youdeowei,B,450
ABULE-EGBA BU,11-Ope IluINJ-T1-Aboro,C,201
ABULE-EGBA BU,11-Ope IluINJ-T1-Adiyan,C,234
ABULE-EGBA BU,11-YidiINJ-T1-Ijoko,D,177
ABULE-EGBA BU,11-YidiINJ-T1-Opeilu,D,139
ABULE-EGBA BU,11-YidiINJ-T1-Osoba,C,290
ABULE-EGBA BU,11-YusufINJ-T1-Akera,C,278
ABULE-EGBA BU,11-YusufINJ-T2-Yusuf,C,314
ABULE-EGBA BU,33-OgbaTCN-ABEOKUTA EXP.,B,590
ABULE-EGBA BU,33-Oke-AroTCN-AKUTE,D,280
ABULE-EGBA BU,33-OtaTCN-AMJE,C,618
AKOWONJO BU,11-AbesanINJ-T1-Aboru,D,235
AKOWONJO BU,11-AbesanINJ-T1-Baruwa,D,267
AKOWONJO BU,11-AbesanINJ-T1-Ipaja,C,356
AKOWONJO BU,11-AbesanINJ-T2-Abesan,C,368
AKOWONJO BU,11-AbesanINJ-T2-Shagari,C,376
AKOWONJO BU,11-Abule IrokoINJ-T1-Alakuko,D,246
AKOWONJO BU,11-Abule TaylorINJ-T1-Bode Williams,D,372
AKOWONJO BU,11-Abule TaylorINJ-T1-Walter Anderm,D,380
AKOWONJO BU,11-AdaranijoINJ-T1-Arigbanla,C,351
AKOWONJO BU,11-AdaranijoINJ-T1-NYSC,C,421
AKOWONJO BU,11-AdaranijoINJ-T1-Oyewole,C,369
AKOWONJO BU,11-AgegeINJ-T1-Oko Oba,C,407
AKOWONJO BU,11-AgegeINJ-T2-Abule Egba,D,377
AKOWONJO BU,11-AgegeINJ-T2-Orile Agege,C,380
AKOWONJO BU,11-AgegeINJ-T2-Power Line,D,296
AKOWONJO BU,11-AgegeINJ-T3-Pen Cinema,C,367
AKOWONJO BU,11-AgegeINJ-T3-Tabon Tabon,D,369
AKOWONJO BU,11-AiyetoroINJ-T1-Bada,C,317
AKOWONJO BU,11-AiyetoroINJ-T1-Itele,C,338
AKOWONJO BU,11-AlajaINJ-T1-Fadayomi,C,327
AKOWONJO BU,11-AlimoshoINJ-T4-Akowonjo,C,367
AKOWONJO BU,11-AlimoshoINJ-T4-FHA,B,478
AKOWONJO BU,11-AlimoshoINJ-T4-Oki,C,457
AKOWONJO BU,11-AlimoshoINJ-T6-Orelope,C,386
AKOWONJO BU,11-AlimoshoINJ-T6-Shasha,C,368
AKOWONJO BU,11-AlimoshoINJ-T8-Alimosho,B,550
AKOWONJO BU,11-AlimoshoINJ-T8-Okunola,C,406
AKOWONJO BU,11-AlimoshoINJ-T8-Wole Omo Osho,B,466
AKOWONJO BU,11-AmikanleINJ-T1-Aiyetobi,C,363
AKOWONJO BU,11-AmikanleINJ-T1-Ige,D,368
AKOWONJO BU,11-AmikanleINJ-T1-Isoto,D,278
AKOWONJO BU,11-AyetoroINJ-T1-Bada,C,308
AKOWONJO BU,11-AyetoroINJ-T1-Itele,C,334
AKOWONJO BU,11-AyoboINJ-T1-Ayobo,C,344
AKOWONJO BU,11-AyoboINJ-T1-Ikola,D,293
AKOWONJO BU,11-EkoroINJ-T1-Ajasa,D,270
AKOWONJO BU,11-EkoroINJ-T1-Ekoro,D,292
AKOWONJO BU,11-EkoroINJ-T1-Oke Odo,D,382
AKOWONJO BU,11-EkoroINJ-T2-Agbele,D,284
AKOWONJO BU,11-EkoroINJ-T2-Olota,D,281
AKOWONJO BU,11-HilltopINJ-T1-Hilltop,A - Bilateral,558
AKOWONJO BU,11-Ijaiye OjokoroINJ-T1-Abeokuta Express,C,244
AKOWONJO BU,11-IlapoINJ-T1-Ilapo,D,263
